key,name,Handedness,height,weight,Mean Batting Average,Mean Home Runs,Height_Class,Weight_Class,Physical Attributes,Count
1122,Bob Watson,Right Handed,72,201,0.295,184,Shorter,Heavier,Shorter & Heavier,101
1123,Ken Harrelson,Right Handed,74,190,0.239,131,Taller,Heavier,Taller & Heavier,307
1124,Bobby Wine,Right Handed,73,187,0.215,30,Taller,Heavier,Taller & Heavier,307
1125,Stefan Wever,Right Handed,80,245,0,0,Taller,Heavier,Taller & Heavier,307
1126,John Kennedy,Right Handed,72,185,0.225,32,Shorter,Heavier,Shorter & Heavier,101
1127,Chico Ruiz,Both L & R,72,169,0.24,2,Shorter,Thinner,Shorter & Thinner,54
1128,Dave Johnson,Right Handed,73,183,0,0,Taller,Thinner,Taller & Thinner,100
1129,Gail Hopkins,Left Handed,70,198,0.266,25,Shorter,Heavier,Shorter & Heavier,47
1130,Doug Frobel,Left Handed,76,196,0.201,20,Taller,Heavier,Taller & Heavier,119
1131,Luis Melendez,Right Handed,72,165,0.248,9,Shorter,Thinner,Shorter & Thinner,229
1132,Jerry Augustine,Left Handed,72,183,0,0,Shorter,Thinner,Shorter & Thinner,107
1133,Bill Plummer,Right Handed,73,190,0.188,14,Taller,Heavier,Taller & Heavier,307
1134,Buck Rodgers,Both L & R,74,190,0.232,31,Taller,Heavier,Taller & Heavier,27
1135,Phil Niekro,Right Handed,73,180,0.169,7,Taller,Thinner,Taller & Thinner,100
1136,Jeff Holly,Left Handed,77,210,0,0,Taller,Heavier,Taller & Heavier,119
1137,Tom Poquette,Left Handed,70,175,0.268,10,Shorter,Thinner,Shorter & Thinner,107
1138,Eric Hetzel,Right Handed,75,175,0,0,Taller,Thinner,Taller & Thinner,100
1139,Brian Asselstine,Left Handed,73,175,0.254,12,Taller,Thinner,Taller & Thinner,43
1140,Rick Miller,Left Handed,72,175,0.269,28,Shorter,Thinner,Shorter & Thinner,107
1141,Ed Charles,Right Handed,70,170,0.263,86,Shorter,Thinner,Shorter & Thinner,229
1142,Luis Gomez,Right Handed,69,150,0.21,0,Shorter,Thinner,Shorter & Thinner,229
1143,Dave Lemanczyk,Right Handed,76,235,0,0,Taller,Heavier,Taller & Heavier,307
1144,Al Jones,Right Handed,76,210,0,0,Taller,Heavier,Taller & Heavier,307
1145,Floyd Rayford,Right Handed,70,190,0.244,38,Shorter,Heavier,Shorter & Heavier,101
1146,Sam Hinds,Right Handed,78,215,0,0,Taller,Heavier,Taller & Heavier,307
1147,Tony Conigliaro,Right Handed,75,185,0.264,166,Taller,Heavier,Taller & Heavier,307
1148,Clay Christiansen,Right Handed,77,205,0,0,Taller,Heavier,Taller & Heavier,307
1149,Jim Barr,Right Handed,75,205,0.162,1,Taller,Heavier,Taller & Heavier,307
1150,Jerry Remy,Left Handed,69,165,0.275,7,Shorter,Thinner,Shorter & Thinner,107
1151,Larry Rothschild,Left Handed,74,180,0,0,Taller,Thinner,Taller & Thinner,43
1152,Frank Duffy,Right Handed,73,180,0.232,26,Taller,Thinner,Taller & Thinner,100
1153,Gary Lance,Both L & R,75,195,0,0,Taller,Heavier,Taller & Heavier,27
1154,Tom O'Malley,Left Handed,72,180,0.256,13,Shorter,Thinner,Shorter & Thinner,107
1155,Phil Garner,Right Handed,70,175,0.26,109,Shorter,Thinner,Shorter & Thinner,229
1156,Larry Pashnick,Right Handed,75,205,0,0,Taller,Heavier,Taller & Heavier,307
1157,Todd Fischer,Right Handed,70,170,0,0,Shorter,Thinner,Shorter & Thinner,229
